clip_identifier	TranscriptId	transcript	start_timestamp_ms	end_timestamp_ms	speaker_id	match_id	round
03hxmcfy_r00_s1_p001	transid-2180861a13680923-001669716799427		0	1000	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-4335d23492d37a91-001669716800025	dome pillar sort of thing	1181	4035	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-65c40f0913f9870b-001669716800183	All right.	1260	1960	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-3d1ec58fd328bd62-001669716800425	We got it.	2720	3350	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-c6bca3a8fa50b0c3-001669716800583	Now we got another one. It's a	5802	8280	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-b525c5eb4d5d966b-001669716800738	"dog, tannish."	9527	12097	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-74d6e83dd6d8018a-001669716800812	"Might be a, I don't know dog names at all, but there's like a"	12437	15646	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-aeeb2864429340f4-001669716800968	That's okay.	15752	16435	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-b15e4e413e7a43c5-001669716801115	"It's kind of tall, lengthy."	16245	17787	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-95be6a579747973b-001669716801192	"Got one ear up, the other one flapped over."	19188	21733	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-83c5a01ba4b0b2cc-001669716801264	It has a wooden fence behind it.	22171	24017	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-aa5384f15e4728cd-001669716801342	And	26218	27238	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-0bc919d4babc355f-001669716801489	it's about all I've got.	28270	29517	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-fdf34da6ac6dae50-001669716801556	Okay.	29537	30147	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-a9b676461147f964-001669716801698	Um.	30374	31093	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-2b756c5741afcebe-001669716801840	Wood fence.	32204	33518	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-3f6fa2858beaf835-001669716801978	Oh.	34329	34753	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p001	transid-999e730cc06c04ca-001669716802117	Yep.	35579	35999	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p002	transid-a579d73507778849-001669650815834	Sweet.	1678	2178	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p002	transid-821450acf793f355-001669650816100	"Ah tiny little sparrow looking bird, red around it's mouth, sharp beak"	2606	7706	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p002	transid-4d1690d5da0353b6-001669650816811	"it's on the ground with a bunch of pebbles and, around it and tiny needles or"	8137	12837	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p002	transid-f05ce27e7a29b1df-001669650817265	weeds and there is a wooden log behind it.	13197	16097	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p002	transid-d2fb3dc1933b6d5f-001669650817702	And in the back of that kind of blurry is trees.	16872	19972	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p002	transid-159f56b335f16f6b-001669650818224	Okay.	21162	22162	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-c9d818547662829c-001669379915888	Yeah.	0	425	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-6964e8e5f478e7f8-001669379916121	A	3034	4034	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-0a18e491ce155422-001669379916228	"possibly rottweiler dog,"	5000	6804	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-ffd4e0c6dec2dafc-001669379916341	Mhm	7287	7814	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-d7bd96653fabaea9-001669379916457	"black, brown"	7834	9295	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-f36b52764c3ca00d-001669379916510	"white muzzle, lying on a carpet"	10027	12125	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-28dcb8a20066931d-001669379916620	looking mournful 	12944	14129	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-eb0b2dbb1608d946-001669379916674	with a red collar.	15018	16099	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-1eb4efc7de7cc5d0-001669379916779	Okay.	16965	17523	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-c120f91eac0367de-001669379916836	um	17965	18480	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-8cc9a86eff8f8408-001669379916945	"Ooh, red collar. "	19433	20343	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-e119d74b29b4a866-001669379917047	Good. 	20643	21133	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p003	transid-e0e654e26dfca71a-001669379917151	Got it.	21618	22000	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p004	transid-130acabbc212dcb8-001669299599250	Another tiny bird	3250	4715	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p004	transid-dacf89fc498a87a2-001669299599333	 on a mossy 	5483	7205	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p004	transid-6bda656f494eebc4-001669299599415	"very large branch, with a small branch in the background. It's got like a "	8455	13000	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-6e3010a5bbe74683-001669283720775	Not if something isn't big.	0	1919	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-daca9faf36bc35cc-001669283721863	I got it.	1819	2404	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-daca9faf36bc3f85-001669283722151	A	4949	5994	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-a51def1300886475-001669283722549	weirdly shaped blue plate	6694	8384	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-daca9faf36bc341d-001669283722796	with tiny slices of looks like fig on it	9334	13469	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-6e56ff3f4a42d9e4-001669283723198	and pasta and mashed cauliflower and a spoon. And in the background is a whole fig	14234	19504	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-6e56ff3f4a42d893-001669283723454	and whole yellow fruit of some kind.	19924	22314	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p005	transid-daca9faf36bc39db-001669283723748	Got it.	22604	22999	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-0badc26b5f18c9d7-001669230477676	A 	2565	3438	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-0badc26b5f18c272-001669230478327	grayish cat 	4440	5585	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-3cfa28271bc61431-001669230479061	"with uh black stripes, "	6070	8165	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-886eca932653e096-001669230479741	white paw 	9180	10114	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-09987873088fd803-001669230480373	with a very 	10575	11615	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-c15b9fb1a8efee13-001669230480916	vague gray background l	12060	13545	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p006	transid-a338d24900b924b7-001669230481818	ooking directly at the camera.	15008	16748	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p007	transid-beee04f95e22c1ef-001669213508604	Got it.	80	640	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p007	transid-4f2fc81ac8d29d07-001669213510248	Some variety of pastry	4390	6428	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p007	transid-13806a13c9d80196-001669213510771	on a dish	7430	8867	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p007	transid-cd53271070673533-001669213511415	sitting on a colouful	9250	11465	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p007	transid-c0632a8a7350b771-001669213512066	tabletop like fruit decoy or something and on the pastry on the top is	12245	17448	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p007	transid-aa0f99c87761fdbf-001669213512784	slice peaches	17843	19000	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-519b107339660cf8-001669140481703	is all red dot or something in the middle.	0	2110	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-5e22cadaf16decde-001669140483522	All right.	2135	2865	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-fe264232a13a0847-001669140484529	A	4675	5280	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-d2bc13cf452742c0-001669140485171	tall and lanky dog.	6305	7787	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-5a6fa844c370c0df-001669140485909	in a grassy area	8530	10477	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-9e0800bddaca23b2-001669140486917	with pink flowers behind it.	11405	13545	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p008	transid-19583d5b1ace08c2-001669140487236	And way in the back a tree line and a telephone pole.	14630	18810	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-6df07b10fa69cf61-001669214560706	Yep. Got it.	0	1220	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-334b4c272f47c407-001669214561908	"A pelican or a seagull, "	2960	5620	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-c3a72d98b9ed0ee0-001669214562364	one of those watery birds. 	6035	7370	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-8590ccd116f34e63-001669214562722	Mhm. 	7410	8022	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-7968b9a57e51a2d6-001669214563071	Uh	8590	9367	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-8e2e8e79f199b2a7-001669214563317	midflight over water. 	9840	11464	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-da9cf01ace2d6463-001669214563646	Okay. Is it flying to the left or right? 	12870	15007	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-94776bd75702e531-001669214563888	It's flying to the left. 	16620	17889	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-7c51b5db289d5c74-001669214564040	Okay.	18295	18864	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-5b1da4a488820da1-001669214564195	Um	19895	20558	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-8a9dc398ced398a8-001669214564423	Does it Do you see like big webbed feet dangling behind it or no?	23850	27568	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p009	transid-6df07b10fa69c334-001669214564721	"Yes, that's the one."	28218	29538	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p010	transid-70131b96538445bb-001668786783303	"All right, we got it?"	0	905	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p010	transid-974baa78742e1f87-001668786783767		1195	1890	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p010	transid-ed20e3acbdb98e24-001668786784058	A almost wolf like looking dog	3370	6089	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p010	transid-acd6aaba6ec3eb7f-001668786784350	on a dock or pier.	6530	8829	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p010	transid-8fcb6697cd4a93d3-001668786784628	 Center of the photo surrounded by a lake.	9664	13000	Speaker0	03hxmcfy	r00
03hxmcfy_r01_s1_p000	transid-eb2c88620c979248-001669744146362	Okay.	1799	2890	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-20cac5ff4abb4fd2-001669744146608		2705	3255	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-20cac5ff4abb4b5b-001669744146950	"So,"	3640	4085	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-7bad0b2f0c137daa-001669744147192	Okay.	3825	4205	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-20cac5ff4abb46e4-001669744147434	um it is a small small bird with long legs looking at the camera.	4950	11170	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-bf894223d36b7acd-001669744147878	It's Looks like it's on top of a a board	11735	16560	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-361d4f5653eeba4c-001669744148158	Okay.	13130	13620	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-361d4f5653eeb94d-001669744148585	"like it's wood, but it's like a piece of lumber or something. Um,"	16890	20875	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-3d46fbe7b721c5b7-001669744148831	it's a 	21180	21810	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-897bf97d347afc63-001669744149080	Okay.	21770	22350	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-8917ba58865d67d3-001669744149732	It got a really long tail feather.	22415	24914	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p000	transid-35064aa9eb4e5c1c-001669744150007	"Um, in the background is very blurred."	25529	27849	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p001	transid-af416d24cbd79b44-001669734267416	"The bird, okay?"	275	1470	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p001	transid-26357456e39fd69c-001669734267788	Got it.	1239	1870	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p001	transid-26357456e39fde0f-001669734268199	"Um, it's a, a dog. Oh what is the name of that dog. It's got very, it's kind of got long hair, um, in, you see actually a human arm's out. Kind of from the right hand side, touching the dog."	2280	15625	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p001	transid-26357456e39fd582-001669734268486	Got	16740	17000	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-1758443a5b4adda0-001669654852891		0	425	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-89d85fced6e6271a-001669654853811	Okay.	2135	2695	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-ab5856bc635f8916-001669654855734	"It's um pasta with a hard-boiled egg, two halves of a hard-boiled egg, on the right-hand side of the bowl. That pasta Nil, it's like rice or something. "	3606	13400	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-5f564d4af5d7dac0-001669654857710	Um.	14075	14665	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-0132386aecac1c74-001669654858543	But there's hard-boiled egg	15159	16950	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-ffe6aac854656118-001669654859660	in it. There's a fork sticking in on the left-hand side of the bowl.	17360	20750	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p002	transid-453c5d2128174e43-001669654861553	"Um, to the left of the"	21948	23000	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p003	transid-2c1090e3b420dc47-001669477134788	the bowl. All right.	0	1835	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p003	transid-76bc45f62723c3bb-001669477136596	Got it.	510	995	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p003	transid-3f3a7e41d970cd40-001669477137186	"Okay, it's a stout little bird with uh black and white coloring. "	3405	9215	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p003	transid-e58d9ae1cb2c967d-001669477137559	um a very short red bill and it's on top of a smooth round rock. The background is very blurred very dark gray blurry background.	9644	19853	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p004	transid-1d964f60fb4f629b-001669469209669	Got it.	380	1100	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p004	transid-58403723d82f1b0e-001669469210316	"Okay, this is a white dog facing to the right."	1915	6640	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p004	transid-02378f300665fc61-001669469210648	"It's in Looks like a backyard, it's on grass and you see a swinging bench in the background, and a plastic chair in the background. "	7235	15202	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p005	transid-00c4cf2233ab344c-001669298133544	This is a close up of a black dog. 	2325	4775	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p005	transid-d10af919a995ef8e-001669298133799	It's looking 	5235	6450	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p005	transid-aafe57a32a4cbf18-001669298134051	"at the camera, um head titled a little bit to the left. "	7095	10425	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p005	transid-b3a58fc8b0fe35cc-001669298134295	uh It looks like it's inside on a hardwood floor 	10840	15854	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p005	transid-612da5fd1ddacfa8-001669298134532	with uh kind of an off white 	16450	18758	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p005	transid-5a45cc0175033c16-001669298134767	wall in the background.	19173	21000	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p006	transid-a7d1a4ea71973313-001669286652214	"Okay. This is a woman and her dog, woman on the right, dog on the left."	2410	9555	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p006	transid-0d38333247dace8a-001669286653349	Black dog. The woman has kind of brown curly hair and a 	12565	17570	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-42146ca43d72d632-001669219134212	Um.	130	928	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-fb3a53ad267006f0-001669219134325	Got it.	550	1215	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-41158557ea8288cf-001669219134399	All right.	1155	1744	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-b8efd942053b7abd-001669219134437	"This is a long-haired white dog, almost looks like a polar bear. It's outside, looking towards the right,"	2820	10182	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-b4e84e957a88bf3c-001669219134552	facing the right.	10451	11452	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-c1096a7dd2d37b96-001669219134664	with some trees in the background.	11769	13828	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p007	transid-d8be7cf5daf28e07-001669219134695	Uh.	16504	17000	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p009	transid-08299d61b1f91748-001669140589161	spot like on their fingers.	0	1885	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p009	transid-059f71d979f53ec7-001669140591017	Okay.	2635	3265	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p009	transid-fab8758404bb6b06-001669140591535	"This is inside of a very, very tall skinny dog with its tongue sticking out."	3565	10702	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p009	transid-c7e56d9128a60e77-001669140592236	It's standing near a food bowl on a carpet.	11085	14622	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p009	transid-2fb1e8d188a9ab36-001669140592754	Oh.	16712	17000	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p010	transid-1994201ce280c87c-001669106960549	I got it.	0	1034	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p010	transid-8075e20f6f29472c-001669106961964	Okay.	1850	2499	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p010	transid-8075e20f6f29410d-001669106962634	This is a short uh short dog on a leash with a brick wall and it's standing next to a brick wall	2815	10963	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p010	transid-c69fe0b8e4ee5452-001669106963176	and it	12234	13000	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p011	transid-fe0f8d50a8f1ee15-001669026146105	It says 2006 in the right-hand corner.	0	2455	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p011	transid-02288e7995079eaa-001669026146678	"All right. This is a bird floating in the water. The camera is almost at water level. And it looks like the bird's like half submerged in the water, but it's looking right at the camera."	3686	14502	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p011	transid-c1e34d390d82b54c-001669026146787	"Um, you don't see the lower half of the body of the bird, it's almost under water."	16035	20908	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p011	transid-7be40843ded5f190-001669026147116		22620	25000	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-5417de31fd734d80-001669747782160	Okay.	1390	2060	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-1ffce9070b2914ff-001669747783171	Um.	3090	3805	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-2d14b9c4c4aad43b-001669747783896	"This is uh, two dogs actually, although one has kind of hidden it's a black dog in the upper-righthand uh, sorry, upper-lefthand corner"	4865	13535	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-c312a62793870e8f-001669747784692	"a black dog, and then on the right-hand is a white dog next to a gray"	14010	18925	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-0299b4c5d6548f72-001669747785795	concrete wall.	19205	20525	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-3752c9b1e2a581e8-001669747786185	Like a short concrete wall.	21000	22670	Speaker0	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-7896874fe2de9e4a-001669747786562	"Uh,"	23655	25000	Speaker1	03hxmcfy	r01
03hxmcfy_r01_s1_p012	transid-1f4023d2b419e54d-001669747786864	It's	24310	24940	Speaker0	03hxmcfy	r01
03hxmcfy_r02_s1_p000	transid-899f241db35b5b0d-001669732456472	Describe	3245	3735	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-dc524f5394fe7a7f-001669732456749		3735	4452	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-a6b78b5db5f500b6-001669732457092	using anything but words.	4452	6592	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-397d4b1ffff32081-001669732457513	Huh?	8275	9402	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-0ee9ac43ed008d14-001669732458289	I think it's supposed	15280	16112	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-3862bc689f2254b9-001669732458981		16112	17730	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-ae57268833323312-001669732459409	using any other forbidden words and	17900	19402	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-ae57268833323413-001669732459685		19402	20207	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-a6b78b5db5f50c71-001669732460089	Okay.	21165	21845	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-eb11a01aa8ea270a-001669732460415	Yeah.	21805	22340	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-7a54dc33f11b9077-001669732460733	It is a	23925	26642	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-eb11a01aa8ea2ab5-001669732461162	series	34390	35747	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-dc524f5394fe7c45-001669732461520	on	36960	38267	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-a017d4edbb289ce9-001669732461810	TV	39870	41037	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-a6b78b5db5f50887-001669732462054	about wives	44570	46325	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-2185fad0bef80881-001669732462361	Oh!	46798	47487	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-c52779685daecac8-001669732462766		47870	48830	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-9bd92ba1e9498571-001669732463156	Is it the uh The Housewives of	49300	51842	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-9bd92ba1e9498e24-001669732463397	That one?	52135	52850	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-a017d4edbb28979b-001669732463720	Uh	53645	54232	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-48c67b9097430bba-001669732463962	"Um, what's the first word?"	54500	57225	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-48c67b9097430187-001669732464242	"Um, no."	55145	56127	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-0798615d4df5c341-001669732464495	"Uh,"	57110	58050	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-0798615d4df5c558-001669732464737	"Uh,"	58475	59415	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-eb11a01aa8ea25b6-001669732464978	let's see.	59695	60430	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-67912a72a8db72db-001669732465220	When the second did right	60202	61485	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-2185fad0bef8026e-001669732465628	"Yeah, Hollywood, Beverly Hills, I don't watch TV, man."	61300	64535	Speaker1	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-2185fad0bef80a8b-001669732465868	"No, I know. It's a"	64270	66017	Speaker0	03hxmcfy	r02
03hxmcfy_r02_s1_p000	transid-ae57268833323983-001669732466246	um	66795	67422	Speaker1	03hxmcfy	r02
