clip_identifier	duration	match_id	round	prompt_id	game_type	correct_word/image	distractors	prompt_status	prompt_num
0iozllt3_r03_s1_p006	23	0iozllt3	r03	taboo_en_p0049	word	Recital	['Concert', 'Instruments', 'Stage', 'Performance', 'Music']	skip	6
0k9nzctj_r00_s0_p000	15	0k9nzctj	r00	image_p17730	image	/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0016_33770.jpg	['/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0043_33595.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0054_33633.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0091_33504.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0096_33801.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0065_33423.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0041_33396.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0089_33807.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0030_33615.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0055_33774.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0050_33501.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0101_33611.jpg']	win	0
0k9nzctj_r00_s0_p001	11	0k9nzctj	r00	image_p43872	image	/dogs/English_setter/n02100735_10211.jpg	['/dogs/English_setter/n02100735_7679.jpg', '/dogs/English_setter/n02100735_8318.jpg', '/dogs/English_setter/n02100735_3998.jpg', '/dogs/English_setter/n02100735_861.jpg', '/dogs/English_setter/n02100735_10107.jpg', '/dogs/English_setter/n02100735_7827.jpg', '/dogs/English_setter/n02100735_4870.jpg', '/dogs/English_setter/n02100735_10064.jpg', '/dogs/English_setter/n02100735_9865.jpg', '/dogs/English_setter/n02100735_4912.jpg', '/dogs/English_setter/n02100735_7450.jpg']	win	1
0k9nzctj_r00_s0_p002	17	0k9nzctj	r00	image_p37734	image	/dogs/bluetick/n02088632_4491.jpg	['/dogs/bluetick/n02088632_686.jpg', '/dogs/bluetick/n02088632_4305.jpg', '/dogs/bluetick/n02088632_3643.jpg', '/dogs/bluetick/n02088632_4313.jpg', '/dogs/bluetick/n02088632_2321.jpg', '/dogs/bluetick/n02088632_3531.jpg', '/dogs/bluetick/n02088632_3433.jpg', '/dogs/bluetick/n02088632_610.jpg', '/dogs/bluetick/n02088632_916.jpg', '/dogs/bluetick/n02088632_1108.jpg', '/dogs/bluetick/n02088632_3346.jpg']	win	2
0k9nzctj_r00_s0_p003	19	0k9nzctj	r00	image_p37084	image	/ifood/adobo/train_008100.jpg	['/ifood/adobo/train_007780.jpg', '/ifood/adobo/train_008030.jpg', '/ifood/adobo/train_008021.jpg', '/ifood/adobo/train_007989.jpg', '/ifood/adobo/train_007937.jpg', '/ifood/adobo/train_008064.jpg', '/ifood/adobo/train_007679.jpg', '/ifood/adobo/train_008098.jpg', '/ifood/adobo/train_008086.jpg', '/ifood/adobo/train_007782.jpg', '/ifood/adobo/train_007924.jpg']	win	3
0k9nzctj_r00_s0_p004	17	0k9nzctj	r00	image_p23785	image	/ifood/kedgeree/train_029514.jpg	['/ifood/kedgeree/train_029845.jpg', '/ifood/kedgeree/train_029569.jpg', '/ifood/kedgeree/train_029592.jpg', '/ifood/kedgeree/train_029817.jpg', '/ifood/kedgeree/train_029628.jpg', '/ifood/kedgeree/train_029746.jpg', '/ifood/kedgeree/train_029868.jpg', '/ifood/kedgeree/train_029739.jpg', '/ifood/kedgeree/train_029534.jpg', '/ifood/kedgeree/train_029840.jpg', '/ifood/kedgeree/train_029856.jpg']	win	4
0k9nzctj_r00_s0_p005	21	0k9nzctj	r00	image_p38698	image	/ifood/panna_cotta/train_079134.jpg	['/ifood/panna_cotta/train_078959.jpg', '/ifood/panna_cotta/train_078846.jpg', '/ifood/panna_cotta/train_078676.jpg', '/ifood/panna_cotta/train_078647.jpg', '/ifood/panna_cotta/train_078709.jpg', '/ifood/panna_cotta/train_078986.jpg', '/ifood/panna_cotta/train_078714.jpg', '/ifood/panna_cotta/train_078913.jpg', '/ifood/panna_cotta/train_079114.jpg', '/ifood/panna_cotta/train_078909.jpg', '/ifood/panna_cotta/train_078839.jpg']	win	5
0k9nzctj_r00_s0_p006	30	0k9nzctj	r00	image_p7367	image	/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0035_8447.jpg	['/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0034_7736.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0009_8248.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0023_7325.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0091_8555.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0015_8207.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0053_8410.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0041_8264.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0087_8358.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0058_8350.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0020_8549.jpg', '/birds/Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0074_8452.jpg']	win	6
0k9nzctj_r00_s0_p007	46	0k9nzctj	r00	image_p25129	image	/dogs/Samoyed/n02111889_2801.jpg	['/dogs/Samoyed/n02111889_3499.jpg', '/dogs/Samoyed/n02111889_2186.jpg', '/dogs/Samoyed/n02111889_8748.jpg', '/dogs/Samoyed/n02111889_466.jpg', '/dogs/Samoyed/n02111889_662.jpg', '/dogs/Samoyed/n02111889_3253.jpg', '/dogs/Samoyed/n02111889_16334.jpg', '/dogs/Samoyed/n02111889_3471.jpg', '/dogs/Samoyed/n02111889_6425.jpg', '/dogs/Samoyed/n02111889_1402.jpg', '/dogs/Samoyed/n02111889_771.jpg']	win	7
0k9nzctj_r00_s0_p008	28	0k9nzctj	r00	image_p34144	image	/ifood/upside_down_cake/train_113432.jpg	['/ifood/upside_down_cake/train_113706.jpg', '/ifood/upside_down_cake/train_113643.jpg', '/ifood/upside_down_cake/train_113603.jpg', '/ifood/upside_down_cake/train_113572.jpg', '/ifood/upside_down_cake/train_113564.jpg', '/ifood/upside_down_cake/train_113569.jpg', '/ifood/upside_down_cake/train_113583.jpg', '/ifood/upside_down_cake/train_113553.jpg', '/ifood/upside_down_cake/train_113450.jpg', '/ifood/upside_down_cake/train_113536.jpg', '/ifood/upside_down_cake/train_113498.jpg']	win	8
0k9nzctj_r00_s0_p009	17	0k9nzctj	r00	image_p3199	image	/ifood/compote/train_000952.jpg	['/ifood/compote/train_000548.jpg', '/ifood/compote/train_000668.jpg', '/ifood/compote/train_000634.jpg', '/ifood/compote/train_001039.jpg', '/ifood/compote/train_000940.jpg', '/ifood/compote/train_001117.jpg', '/ifood/compote/train_000955.jpg', '/ifood/compote/train_001076.jpg', '/ifood/compote/train_000705.jpg', '/ifood/compote/train_000873.jpg', '/ifood/compote/train_000906.jpg']	win	9
0k9nzctj_r00_s0_p010	35	0k9nzctj	r00	image_p14939	image	/ifood/hummus/train_047072.jpg	['/ifood/hummus/train_047077.jpg', '/ifood/hummus/train_047341.jpg', '/ifood/hummus/train_047456.jpg', '/ifood/hummus/train_047376.jpg', '/ifood/hummus/train_047294.jpg', '/ifood/hummus/train_047275.jpg', '/ifood/hummus/train_047490.jpg', '/ifood/hummus/train_047254.jpg', '/ifood/hummus/train_047290.jpg', '/ifood/hummus/train_047409.jpg', '/ifood/hummus/train_047343.jpg']	win	10
0k9nzctj_r01_s1_p000	13	0k9nzctj	r01	image_p36084	image	/ifood/tagliatelle/train_040679.jpg	['/ifood/tagliatelle/train_040620.jpg', '/ifood/tagliatelle/train_040808.jpg', '/ifood/tagliatelle/train_040723.jpg', '/ifood/tagliatelle/train_040472.jpg', '/ifood/tagliatelle/train_040493.jpg', '/ifood/tagliatelle/train_040744.jpg', '/ifood/tagliatelle/train_040591.jpg', '/ifood/tagliatelle/train_040764.jpg', '/ifood/tagliatelle/train_040516.jpg', '/ifood/tagliatelle/train_040567.jpg', '/ifood/tagliatelle/train_040492.jpg']	loss	0
0k9nzctj_r01_s1_p001	40	0k9nzctj	r01	image_p37468	image	/dogs/Airedale/n02096051_1483.jpg	['/dogs/Airedale/n02096051_3194.jpg', '/dogs/Airedale/n02096051_8826.jpg', '/dogs/Airedale/n02096051_6151.jpg', '/dogs/Airedale/n02096051_4196.jpg', '/dogs/Airedale/n02096051_6315.jpg', '/dogs/Airedale/n02096051_1277.jpg', '/dogs/Airedale/n02096051_4514.jpg', '/dogs/Airedale/n02096051_9038.jpg', '/dogs/Airedale/n02096051_4153.jpg', '/dogs/Airedale/n02096051_2314.jpg', '/dogs/Airedale/n02096051_8613.jpg']	win	1
0k9nzctj_r01_s1_p002	18	0k9nzctj	r01	image_p10390	image	/birds/European_Goldfinch/European_Goldfinch_0005_33263.jpg	['/birds/European_Goldfinch/European_Goldfinch_0100_794685.jpg', '/birds/European_Goldfinch/European_Goldfinch_0011_794676.jpg', '/birds/European_Goldfinch/European_Goldfinch_0070_33084.jpg', '/birds/European_Goldfinch/European_Goldfinch_0081_33259.jpg', '/birds/European_Goldfinch/European_Goldfinch_0077_33346.jpg', '/birds/European_Goldfinch/European_Goldfinch_0041_794645.jpg', '/birds/European_Goldfinch/European_Goldfinch_0068_33359.jpg', '/birds/European_Goldfinch/European_Goldfinch_0014_794672.jpg', '/birds/European_Goldfinch/European_Goldfinch_0108_33176.jpg', '/birds/European_Goldfinch/European_Goldfinch_0037_33149.jpg', '/birds/European_Goldfinch/European_Goldfinch_0062_794657.jpg']	win	2
0k9nzctj_r01_s1_p003	25	0k9nzctj	r01	image_p38817	image	/ifood/fettuccine/train_096560.jpg	['/ifood/fettuccine/train_096779.jpg', '/ifood/fettuccine/train_096297.jpg', '/ifood/fettuccine/train_096357.jpg', '/ifood/fettuccine/train_096817.jpg', '/ifood/fettuccine/train_096392.jpg', '/ifood/fettuccine/train_096730.jpg', '/ifood/fettuccine/train_096767.jpg', '/ifood/fettuccine/train_096300.jpg', '/ifood/fettuccine/train_096334.jpg', '/ifood/fettuccine/train_096623.jpg', '/ifood/fettuccine/train_096614.jpg']	win	3
0k9nzctj_r01_s1_p004	14	0k9nzctj	r01	image_p14563	image	/dogs/redbone/n02090379_3865.jpg	['/dogs/redbone/n02090379_3996.jpg', '/dogs/redbone/n02090379_4611.jpg', '/dogs/redbone/n02090379_1272.jpg', '/dogs/redbone/n02090379_1736.jpg', '/dogs/redbone/n02090379_5196.jpg', '/dogs/redbone/n02090379_4754.jpg', '/dogs/redbone/n02090379_601.jpg', '/dogs/redbone/n02090379_3263.jpg', '/dogs/redbone/n02090379_2463.jpg', '/dogs/redbone/n02090379_4138.jpg', '/dogs/redbone/n02090379_1799.jpg']	win	4
0k9nzctj_r01_s1_p005	46	0k9nzctj	r01	image_p38886	image	/ifood/croque_madame/train_094473.jpg	['/ifood/croque_madame/train_094401.jpg', '/ifood/croque_madame/train_094358.jpg', '/ifood/croque_madame/train_094153.jpg', '/ifood/croque_madame/train_094278.jpg', '/ifood/croque_madame/train_094497.jpg', '/ifood/croque_madame/train_094143.jpg', '/ifood/croque_madame/train_094229.jpg', '/ifood/croque_madame/train_094514.jpg', '/ifood/croque_madame/train_094391.jpg', '/ifood/croque_madame/train_094257.jpg', '/ifood/croque_madame/train_094338.jpg']	loss	5
0k9nzctj_r01_s1_p006	35	0k9nzctj	r01	image_p13037	image	/ifood/burrito/train_092482.jpg	['/ifood/burrito/train_092769.jpg', '/ifood/burrito/train_092550.jpg', '/ifood/burrito/train_092900.jpg', '/ifood/burrito/train_092461.jpg', '/ifood/burrito/train_093022.jpg', '/ifood/burrito/train_092485.jpg', '/ifood/burrito/train_092942.jpg', '/ifood/burrito/train_092658.jpg', '/ifood/burrito/train_092987.jpg', '/ifood/burrito/train_093029.jpg', '/ifood/burrito/train_092630.jpg']	win	6
0k9nzctj_r01_s1_p007	47	0k9nzctj	r01	image_p23167	image	/ifood/shirred_egg/train_103424.jpg	['/ifood/shirred_egg/train_103530.jpg', '/ifood/shirred_egg/train_103539.jpg', '/ifood/shirred_egg/train_103348.jpg', '/ifood/shirred_egg/train_103138.jpg', '/ifood/shirred_egg/train_103422.jpg', '/ifood/shirred_egg/train_103257.jpg', '/ifood/shirred_egg/train_103322.jpg', '/ifood/shirred_egg/train_103524.jpg', '/ifood/shirred_egg/train_103538.jpg', '/ifood/shirred_egg/train_103388.jpg', '/ifood/shirred_egg/train_103154.jpg']	win	7
0k9nzctj_r02_s0_p000	18	0k9nzctj	r02	taboo_en_p0080	word	Door	['House', 'Building', 'Handle', 'Entrance', 'Exit']	win	0
0k9nzctj_r02_s0_p003	26	0k9nzctj	r02	taboo_en_p1353	word	Pearl	['Gem', 'Jewelry', 'Necklace', 'Oyster', 'Ocean']	win	3
0k9nzctj_r02_s0_p004	17	0k9nzctj	r02	taboo_en_p0065	word	DJ	['Music', 'Nightclub', 'Dancefloor', 'Mix', 'Radio']	win	4
0k9nzctj_r02_s0_p005	48	0k9nzctj	r02	taboo_en_p0859	word	Fear	['Scared', 'Terror', 'Frightened', 'Shock', 'Timid']	win	5
0k9nzctj_r02_s0_p006	18	0k9nzctj	r02	taboo_en_p2522	word	Shakira	['Colombian', 'Singer', 'Female', 'Latina', 'Dancer']	loss	6
0k9nzctj_r02_s0_p007	21	0k9nzctj	r02	taboo_en_p1080	word	Joystick	['Control', 'Lever', 'Hand', 'Videogame', 'Airplane']	win	7
0k9nzctj_r02_s0_p008	20	0k9nzctj	r02	taboo_en_p0291	word	Cristiano Ronaldo	['Striker', 'Soccer', 'Famous', 'Fast', 'Football']	win	8
0k9nzctj_r02_s0_p009	46	0k9nzctj	r02	taboo_en_p2359	word	Microsoft Windows	['Software', 'System', 'Operating', 'Computer', 'Bill Gates']	win	9
0k9nzctj_r02_s0_p015	20	0k9nzctj	r02	taboo_en_p0146	word	Sand	['Beach', 'Fine', 'Stone', 'Pebbles', 'Erosion']	win	15
0k9nzctj_r03_s0_p000	23	0k9nzctj	r03	taboo_en_p2347	word	Matter	['Object', 'Element', 'Material', 'Thing', 'Amount']	win	0
0k9nzctj_r03_s0_p001	17	0k9nzctj	r03	taboo_en_p0136	word	Job	['Employment', 'Position', 'Career', 'Interview', 'Profession']	win	1
0k9nzctj_r03_s0_p003	27	0k9nzctj	r03	taboo_en_p2461	word	Propaganda	['Biased', 'Agenda', 'Misleading', 'Government', 'Information']	win	3
0k9nzctj_r03_s0_p005	20	0k9nzctj	r03	taboo_en_p2266	word	Isaac Newton	['Physicist', 'Discovery', 'Apple', 'Science', 'Gravity']	win	5
0k9nzctj_r03_s0_p006	45	0k9nzctj	r03	taboo_en_p2046	word	C++	['Computer', 'Language', 'Java', 'Programming', 'Python']	win	6
0k9nzctj_r03_s0_p007	17	0k9nzctj	r03	taboo_en_p2124	word	Donkey	['Shrek', 'Equine', 'Horse', 'Zebra', 'Animal']	win	7
0k9nzctj_r03_s0_p008	31	0k9nzctj	r03	taboo_en_p0349	word	Madonna (Entertainer)	['Female', 'Voice', 'Famous', 'American', 'Singer']	skip	8
0k9nzctj_r03_s0_p010	23	0k9nzctj	r03	taboo_en_p0429	word	Buckingham Palace	['London', 'Royal', 'Monarchy', 'Queen', 'Kingdom']	win	10
0k9nzctj_r03_s0_p011	48	0k9nzctj	r03	taboo_en_p0114	word	Spider	['Insect', 'Tarantula', 'Silk', 'Web', 'Legs']	skip	11
0k9nzctj_r04_s0_p000	33	0k9nzctj	r04	image_p48085	image	/birds/Bronzed_Cowbird/Bronzed_Cowbird_0024_24167.jpg	['/birds/Bronzed_Cowbird/Bronzed_Cowbird_0089_796220.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0010_24146.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0073_796226.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0085_24152.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0019_796242.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0058_796239.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0017_24019.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0057_24074.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0018_24140.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0044_24145.jpg', '/birds/Bronzed_Cowbird/Bronzed_Cowbird_0043_796224.jpg']	loss	0
0k9nzctj_r04_s0_p001	64	0k9nzctj	r04	image_p47859	image	/ifood/kedgeree/train_029546.jpg	['/ifood/kedgeree/train_029781.jpg', '/ifood/kedgeree/train_029676.jpg', '/ifood/kedgeree/train_029820.jpg', '/ifood/kedgeree/train_029819.jpg', '/ifood/kedgeree/train_029764.jpg', '/ifood/kedgeree/train_029868.jpg', '/ifood/kedgeree/train_029569.jpg', '/ifood/kedgeree/train_029565.jpg', '/ifood/kedgeree/train_029755.jpg', '/ifood/kedgeree/train_029585.jpg', '/ifood/kedgeree/train_029522.jpg']	loss	1
0k9nzctj_r04_s0_p002	33	0k9nzctj	r04	image_p19796	image	/ifood/mussel/train_064240.jpg	['/ifood/mussel/train_064430.jpg', '/ifood/mussel/train_064258.jpg', '/ifood/mussel/train_064406.jpg', '/ifood/mussel/train_064202.jpg', '/ifood/mussel/train_064239.jpg', '/ifood/mussel/train_064119.jpg', '/ifood/mussel/train_064470.jpg', '/ifood/mussel/train_064429.jpg', '/ifood/mussel/train_064521.jpg', '/ifood/mussel/train_064187.jpg', '/ifood/mussel/train_064368.jpg']	win	2
0k9nzctj_r04_s0_p003	25	0k9nzctj	r04	image_p43615	image	/dogs/cats/cat00000.jpeg	['/dogs/cats/cat00026.jpeg', '/dogs/cats/cat00018.jpeg', '/dogs/cats/cat00025.jpeg', '/dogs/cats/cat00021.jpeg', '/dogs/cats/cat00028.jpeg', '/dogs/cats/cat00017.jpeg', '/dogs/cats/cat00003.jpeg', '/dogs/cats/cat00012.jpeg', '/dogs/cats/cat00024.jpeg', '/dogs/cats/cat00029.jpeg', '/dogs/cats/cat00007.jpeg']	loss	3
0k9nzctj_r04_s0_p004	18	0k9nzctj	r04	image_p9385	image	/dogs/Newfoundland/n02111277_6229.jpg	['/dogs/Newfoundland/n02111277_5956.jpg', '/dogs/Newfoundland/n02111277_7060.jpg', '/dogs/Newfoundland/n02111277_10237.jpg', '/dogs/Newfoundland/n02111277_10578.jpg', '/dogs/Newfoundland/n02111277_3713.jpg', '/dogs/Newfoundland/n02111277_1193.jpg', '/dogs/Newfoundland/n02111277_14422.jpg', '/dogs/Newfoundland/n02111277_1818.jpg', '/dogs/Newfoundland/n02111277_357.jpg', '/dogs/Newfoundland/n02111277_3454.jpg', '/dogs/Newfoundland/n02111277_1029.jpg']	win	4
0k9nzctj_r04_s0_p005	18	0k9nzctj	r04	image_p38651	image	/birds/Frigatebird/Frigatebird_0084_43006.jpg	['/birds/Frigatebird/Frigatebird_0057_43016.jpg', '/birds/Frigatebird/Frigatebird_0040_42860.jpg', '/birds/Frigatebird/Frigatebird_0081_42779.jpg', '/birds/Frigatebird/Frigatebird_0058_43251.jpg', '/birds/Frigatebird/Frigatebird_0097_43567.jpg', '/birds/Frigatebird/Frigatebird_0035_43420.jpg', '/birds/Frigatebird/Frigatebird_0023_43110.jpg', '/birds/Frigatebird/Frigatebird_0047_43039.jpg', '/birds/Frigatebird/Frigatebird_0096_43571.jpg', '/birds/Frigatebird/Frigatebird_0008_43058.jpg', '/birds/Frigatebird/Frigatebird_0045_42823.jpg']	win	5
0k9nzctj_r04_s0_p006	12	0k9nzctj	r04	image_p2997	image	/dogs/Staffordshire_bullterrier/n02093256_2557.jpg	['/dogs/Staffordshire_bullterrier/n02093256_8615.jpg', '/dogs/Staffordshire_bullterrier/n02093256_6575.jpg', '/dogs/Staffordshire_bullterrier/n02093256_14933.jpg', '/dogs/Staffordshire_bullterrier/n02093256_3113.jpg', '/dogs/Staffordshire_bullterrier/n02093256_2353.jpg', '/dogs/Staffordshire_bullterrier/n02093256_4263.jpg', '/dogs/Staffordshire_bullterrier/n02093256_2817.jpg', '/dogs/Staffordshire_bullterrier/n02093256_7454.jpg', '/dogs/Staffordshire_bullterrier/n02093256_2711.jpg', '/dogs/Staffordshire_bullterrier/n02093256_5428.jpg', '/dogs/Staffordshire_bullterrier/n02093256_3529.jpg']	win	6
0k9nzctj_r04_s0_p007	12	0k9nzctj	r04	image_p17362	image	/dogs/English_foxhound/n02089973_2249.jpg	['/dogs/English_foxhound/n02089973_97.jpg', '/dogs/English_foxhound/n02089973_2509.jpg', '/dogs/English_foxhound/n02089973_208.jpg', '/dogs/English_foxhound/n02089973_48.jpg', '/dogs/English_foxhound/n02089973_1516.jpg', '/dogs/English_foxhound/n02089973_3671.jpg', '/dogs/English_foxhound/n02089973_32.jpg', '/dogs/English_foxhound/n02089973_4359.jpg', '/dogs/English_foxhound/n02089973_319.jpg', '/dogs/English_foxhound/n02089973_1106.jpg', '/dogs/English_foxhound/n02089973_3480.jpg']	win	7
0k9nzctj_r04_s0_p008	28	0k9nzctj	r04	image_p3408	image	/ifood/fettuccine/train_096507.jpg	['/ifood/fettuccine/train_096513.jpg', '/ifood/fettuccine/train_096523.jpg', '/ifood/fettuccine/train_096625.jpg', '/ifood/fettuccine/train_096574.jpg', '/ifood/fettuccine/train_096354.jpg', '/ifood/fettuccine/train_096357.jpg', '/ifood/fettuccine/train_096378.jpg', '/ifood/fettuccine/train_096337.jpg', '/ifood/fettuccine/train_096623.jpg', '/ifood/fettuccine/train_096817.jpg', '/ifood/fettuccine/train_096614.jpg']	loss	8
0k9nzctj_r04_s0_p009	23	0k9nzctj	r04	image_p40453	image	/ifood/baklava/train_023390.jpg	['/ifood/baklava/train_023517.jpg', '/ifood/baklava/train_023779.jpg', '/ifood/baklava/train_023688.jpg', '/ifood/baklava/train_023462.jpg', '/ifood/baklava/train_023641.jpg', '/ifood/baklava/train_023571.jpg', '/ifood/baklava/train_023496.jpg', '/ifood/baklava/train_023859.jpg', '/ifood/baklava/train_023551.jpg', '/ifood/baklava/train_023563.jpg', '/ifood/baklava/train_023798.jpg']	win	9
0s6qjbse_r00_s1_p000	43	0s6qjbse	r00	image_p11232	image	/ifood/croque_madame/train_094343.jpg	['/ifood/croque_madame/train_094324.jpg', '/ifood/croque_madame/train_094439.jpg', '/ifood/croque_madame/train_094101.jpg', '/ifood/croque_madame/train_094458.jpg', '/ifood/croque_madame/train_094514.jpg', '/ifood/croque_madame/train_094206.jpg', '/ifood/croque_madame/train_094497.jpg', '/ifood/croque_madame/train_094179.jpg', '/ifood/croque_madame/train_094417.jpg', '/ifood/croque_madame/train_094034.jpg', '/ifood/croque_madame/train_094032.jpg']	win	0
0s6qjbse_r00_s1_p001	29	0s6qjbse	r00	image_p30786	image	/ifood/fettuccine/train_096625.jpg	['/ifood/fettuccine/train_096446.jpg', '/ifood/fettuccine/train_096604.jpg', '/ifood/fettuccine/train_096822.jpg', '/ifood/fettuccine/train_096728.jpg', '/ifood/fettuccine/train_096523.jpg', '/ifood/fettuccine/train_096354.jpg', '/ifood/fettuccine/train_096513.jpg', '/ifood/fettuccine/train_096650.jpg', '/ifood/fettuccine/train_096785.jpg', '/ifood/fettuccine/train_096779.jpg', '/ifood/fettuccine/train_096668.jpg']	win	1
0s6qjbse_r00_s1_p002	27	0s6qjbse	r00	image_p3374	image	/birds/Northern_Fulmar/Northern_Fulmar_0091_44120.jpg	['/birds/Northern_Fulmar/Northern_Fulmar_0031_43750.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0103_44062.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0083_43618.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0036_43718.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0076_43893.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0065_44081.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0038_43846.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0042_43739.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0058_44114.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0019_43853.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0041_44013.jpg']	win	2
